現チーム,選手名,SS,守備,年齢,生年月日,身長,体重,血液型,投打,出身地,外国人,地域,2020年打席あり,2019年打席あり,2018年打席あり,2020打率,2020試合,2020打席数,2020打数,2020得点,2020安打,2020二塁打,2020三塁打,2020本塁打,2020塁打,2020打点,2020盗塁,2020盗塁刺,2020犠打,2020犠飛,2020四球,2020敬遠,2020死球,2020三振,2020併殺打,2020出塁率,2020長打率,2019打率,2019試合,2019打席数,2019打数,2019得点,2019安打,2019二塁打,2019三塁打,2019本塁打,2019塁打,2019打点,2019盗塁,2019盗塁刺,2019犠打,2019犠飛,2019四球,2019敬遠,2019死球,2019三振,2019併殺打,2019出塁率,2019長打率,2018打率,2018試合,2018打席数,2018打数,2018得点,2018安打,2018二塁打,2018三塁打,2018本塁打,2018塁打,2018打点,2018盗塁,2018盗塁刺,2018犠打,2018犠飛,2018四球,2018敬遠,2018死球,2018三振,2018併殺打,2018出塁率,2018長打率
横浜,ソト,1.0,内野手,32,1989/2/28,185,97,,右右,プエルトリコ,1,海外,1,1,1,0.252,114,480,428,59,108,18,0,25,201,78,0,0,0,5,44,0,3,103,12,0.323,0.47,0.269,141,584,516,82,139,18,0,43,286,108,0,0,0,4,59,4,5,98,14,0.348,0.554,0.31,107,459,416,74,129,16,0,41,268,95,0,1,0,5,29,2,9,100,5,0.364,0.644
横浜,宮﨑　敏郎,1.0,内野手,32,1988/12/12,172,85,B,右右,佐賀,0,九州・沖縄,1,1,1,0.301,113,460,429,47,129,26,1,14,199,53,0,0,0,3,24,2,4,29,15,0.341,0.464,0.284,114,473,433,54,123,22,1,15,192,49,0,0,0,5,32,2,3,35,13,0.334,0.443,0.318,142,590,551,71,175,34,0,28,293,71,0,0,0,0,38,3,1,45,16,0.363,0.532
横浜,オースティン,1.0,外野手,29,1991/9/6,188,100,,右右,アメリカ,1,海外,1,0,0,0.286,65,269,238,36,68,14,1,20,144,56,0,0,0,1,29,1,1,69,4,0.364,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,大和,1.0,内野手,33,1987/11/5,177,77,A,右右,鹿児島,0,九州・沖縄,1,1,1,0.281,85,225,199,23,56,7,1,4,77,23,3,3,3,3,20,0,0,28,8,0.342,0.387,0.237,137,490,438,42,104,17,2,0,125,37,3,1,10,2,34,1,6,75,7,0.3,0.285,0.244,113,435,394,54,96,24,3,2,132,27,10,6,9,3,24,1,5,73,0,0.293,0.335
横浜,佐野　恵太,1.0,外野手,26,1994/11/28,178,88,A,右左,岡山,0,中国,1,1,1,0.328,106,451,402,48,132,20,1,20,214,69,0,0,0,3,42,1,4,58,13,0.395,0.532,0.295,89,215,200,23,59,10,0,5,84,33,0,0,0,0,13,1,2,39,9,0.344,0.42,0.23,73,130,126,6,29,4,0,5,48,14,1,0,0,1,3,0,0,26,3,0.246,0.381
横浜,柴田　竜拓,1.0,内野手,27,1993/12/16,167,68,O,右左,岡山,0,中国,1,1,1,0.266,110,276,233,33,62,14,0,2,82,20,0,0,9,1,29,3,4,50,1,0.356,0.352,0.256,111,196,164,22,42,8,1,3,61,17,3,0,10,2,20,1,0,38,3,0.333,0.372,0.219,113,265,224,32,49,6,0,3,64,13,2,1,6,0,30,2,5,45,3,0.324,0.286
横浜,神里　和毅,1.0,外野手,27,1994/1/17,179,81,A,右左,沖縄,0,九州・沖縄,1,1,1,0.308,80,190,169,38,52,8,1,3,71,17,7,1,1,2,15,0,3,42,3,0.37,0.42,0.279,123,458,427,62,119,31,3,6,174,35,15,10,3,0,26,2,2,121,7,0.323,0.407,0.251,86,273,247,31,62,14,3,5,97,21,15,9,4,0,19,1,3,68,4,0.312,0.393
横浜,桑原　将志,0.0,外野手,27,1993/7/21,174,78,B,右右,大阪,0,関西,1,1,1,0.139,34,42,36,8,5,0,0,1,8,2,0,0,1,1,3,0,1,11,2,0.22,0.222,0.186,72,115,102,14,19,3,1,2,30,7,2,0,3,0,9,0,1,26,0,0.259,0.294,0.261,127,421,379,57,99,24,5,9,160,26,17,3,7,0,32,1,3,71,3,0.324,0.422
横浜,戸柱　恭孝,0.0,捕手,30,1990/4/11,179,90,A,右左,鹿児島,0,九州・沖縄,1,1,1,0.212,96,276,259,21,55,8,1,5,80,23,0,2,5,1,11,0,0,53,8,0.244,0.309,0.2,45,111,100,6,20,4,2,1,31,6,0,0,2,1,7,0,1,22,2,0.257,0.31,0.179,25,59,56,5,10,2,0,1,15,6,0,0,1,0,2,0,0,9,3,0.207,0.268
横浜,乙坂　智,0.0,外野手,27,1994/1/6,183,83,O,右左,神奈川,0,関東,1,1,1,0.208,85,115,101,17,21,3,0,1,27,7,5,0,1,1,12,0,0,28,2,0.289,0.267,0.245,97,179,159,19,39,8,2,2,57,17,6,3,3,1,14,2,2,33,3,0.313,0.358,0.204,73,109,93,16,19,2,0,0,21,7,3,3,2,2,12,1,0,22,0,0.29,0.226
