武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親
蠣崎,季広,65,54,73,84,76,119,160,352,蠣崎義広,かきざき,すえひろ,1507年,1522年,1595年,89,-,領地保全,激励,堅固,囮挑発,実利,8,-
蠣崎,慶広,67,54,71,84,83,121,167,359,-,かきざき,よしひろ,1548年,1564年,1616年,69,-,領地保全,逆撫で,奪力,囮挑発,家名,11,-
蠣崎,盛広,49,46,40,67,52,95,119,254,蠣崎慶広,かきざき,もりひろ,1571年,1586年,1608年,38,-,家名存続,足止め,回避,神出鬼没,家名,3,-
蠣崎,守広,42,46,53,61,57,88,118,259,-,かきざき,もりひろ,1564年,1579年,1635年,72,-,家名存続,臨戦,万全梟雄,囮挑発,実利,5,-
近藤,義武,55,69,63,59,62,124,121,308,-,こんどう,よしたけ,1569年,1584年,1638年,70,-,領地保全,突撃,速攻謀神奇略,全軍突撃,勲功,5,-
南条,広継,54,55,66,44,53,109,97,272,-,なんじょう,ひろつぐ,1528年,1543年,1562年,35,-,家名存続,足止め,回避舞姫,神出鬼没,家名,11,-
南部,晴政,85,79,49,43,42,164,85,298,南部安信,なんぶ,はるまさ,1517年,1532年,1582年,66,-,満ちゆく月,奮闘,疾走激励,神出鬼没,実利,12,-
石川,高信,79,63,59,54,56,142,110,311,南部政康,いしかわ,たかのぶ,1496年,1511年,1571年,76,-,所領拡大,用心,斥候離間,神出鬼没,実利,7,-
石川,信直,64,51,76,75,77,115,152,343,石川高信,いしかわ,のぶなお,1546年,1561年,1599年,54,-,所領拡大,逆撫で,地利奮闘,囮挑発,勲功,7,-
石川,利直,66,57,73,73,77,123,150,346,石川信直,いしかわ,としなお,1576年,1591年,1632年,57,-,家名存続,叱咤,伏兵,神出鬼没,家名,10,-
泉山,古康,42,42,52,68,61,84,129,265,-,いずみやま,ふるやす,1536年,1551年,1590年,55,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,7,-
泉山,政義,37,37,52,63,58,74,121,247,泉山古康,いずみやま,まさよし,1560年,1575年,1629年,70,-,家名存続,気勢崩し,堅固,囮挑発,実利,6,-
北,信愛,76,57,67,81,74,133,155,355,北致愛,きた,のぶちか,1523年,1538年,1613年,91,-,領地保全,太鼓持ち,万全,囮挑発,家名,6,-
